Actual_Class,Fraud_Probability,Risk_Score,Risk_Category,Recommended_Action
0,0.0063844207,1,Low Risk,Auto Approve
0,0.01530371,2,Low Risk,Auto Approve
0,0.00023183537,0,Low Risk,Auto Approve
0,0.3220102,32,Medium Risk,Quick Verification
0,0.045533072,5,Low Risk,Auto Approve
0,0.5769412,58,High Risk,Manual Investigation
0,0.0010002976,0,Low Risk,Auto Approve
1,0.69341016,69,High Risk,Manual Investigation
0,0.0015655489,0,Low Risk,Auto Approve
0,0.007184357,1,Low Risk,Auto Approve
0,0.0061194655,1,Low Risk,Auto Approve
0,0.008194236,1,Low Risk,Auto Approve
0,0.0029543429,0,Low Risk,Auto Approve
0,0.0020092567,0,Low Risk,Auto Approve
0,0.0006760841,0,Low Risk,Auto Approve
0,0.004867235,0,Low Risk,Auto Approve
1,0.03799825,4,Low Risk,Auto Approve
0,0.75032717,75,High Risk,Manual Investigation
0,0.051271975,5,Low Risk,Auto Approve
0,0.56703126,57,High Risk,Manual Investigation
0,0.0005662183,0,Low Risk,Auto Approve
0,0.020461585,2,Low Risk,Auto Approve
0,0.10418973,10,Low Risk,Auto Approve
0,0.9337899,93,Critical Risk,Fraud Investigation Team
0,0.0013421017,0,Low Risk,Auto Approve
0,0.004097181,0,Low Risk,Auto Approve
0,0.028356887,3,Low Risk,Auto Approve
0,0.07997771,8,Low Risk,Auto Approve
0,0.00045412776,0,Low Risk,Auto Approve
0,0.6426323,64,High Risk,Manual Investigation
0,0.06701613,7,Low Risk,Auto Approve
0,0.08486286,8,Low Risk,Auto Approve
0,0.59070504,59,High Risk,Manual Investigation
0,0.1490843,15,Low Risk,Auto Approve
0,0.00012299082,0,Low Risk,Auto Approve
0,0.13663356,14,Low Risk,Auto Approve
0,0.5877979,59,High Risk,Manual Investigation
0,0.002286254,0,Low Risk,Auto Approve
0,0.0011168721,0,Low Risk,Auto Approve
0,0.124111064,12,Low Risk,Auto Approve
0,0.06499502,6,Low Risk,Auto Approve
0,0.041228145,4,Low Risk,Auto Approve
0,0.5854397,59,High Risk,Manual Investigation
0,0.777075,78,Critical Risk,Fraud Investigation Team
0,0.0012241767,0,Low Risk,Auto Approve
0,0.03332471,3,Low Risk,Auto Approve
0,8.618438e-05,0,Low Risk,Auto Approve
0,4.3088028e-05,0,Low Risk,Auto Approve
0,0.30908182,31,Medium Risk,Quick Verification
0,0.050530456,5,Low Risk,Auto Approve
0,0.85746485,86,Critical Risk,Fraud Investigation Team
1,0.8155206,82,Critical Risk,Fraud Investigation Team
0,0.3593344,36,Medium Risk,Quick Verification
0,0.6053364,61,High Risk,Manual Investigation
0,0.0005346284,0,Low Risk,Auto Approve
0,0.17631984,18,Low Risk,Auto Approve
0,0.016283693,2,Low Risk,Auto Approve
0,0.18159065,18,Low Risk,Auto Approve
0,0.0008960604,0,Low Risk,Auto Approve
0,0.49611792,50,Medium Risk,Quick Verification
0,0.0041364343,0,Low Risk,Auto Approve
0,0.6527056,65,High Risk,Manual Investigation
0,0.00043555457,0,Low Risk,Auto Approve
0,0.1575078,16,Low Risk,Auto Approve
0,0.0062835068,1,Low Risk,Auto Approve
0,0.60499346,60,High Risk,Manual Investigation
0,0.11980448,12,Low Risk,Auto Approve
0,0.21278656,21,Low Risk,Auto Approve
